unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,expect_foreclosure,use_credit_cards,weight
2,1,7,1,1,150.0,100.0,2,3,77,1,77,8,3,1,443.82323203
2,1,7,1,2,125.0,25.0,3,4,1,77,3,6,77,1,304.1776162
2,2,2,1,2,155.77916356258842,46.76446854918348,3,9,1,77,2,1,77,1,335.90647223
2,1,7,1,1,300.0,85.0,2,3,77,1,77,8,3,1,167.5928172
2,1,7,1,4,50.0,0.0,3,6,1,77,2,4,77,1,181.68687756
1,2,6,1,2,100.0,44.562513690025874,4,2,77,77,77,3,77,1,79.743425153
1,2,5,1,1,250.0,50.0,1,8,77,77,77,7,77,1,88.60840646
2,2,7,2,1,135.90743319856927,0.0,1,9,77,77,77,2,77,1,64.227511174
2,2,4,2,1,100.0,0.0,3,8,1,77,2,1,77,1,164.55688196
2,1,6,1,2,110.0,27.0,2,3,77,1,77,5,3,1,74.386360892
1,1,7,1,4,100.0,0.0,1,4,77,77,77,5,77,1,151.716277
1,2,3,2,1,150.0,20.0,3,5,2,77,4,5,77,1,363.2692635
1,1,3,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,616.04287811
2,1,7,1,3,300.0,75.0,1,3,77,77,77,7,77,1,181.68687756
1,1,3,1,2,0.0,0.0,1,3,77,77,77,4,77,1,335.90647223
2,1,7,1,2,300.0,0.0,3,9,1,77,2,3,77,1,108.61604004
2,1,7,1,1,155.0,40.0,2,9,77,1,77,5,2,1,57.213239253
2,1,7,1,1,100.0,150.0,3,3,1,77,3,8,77,1,590.08067835
2,1,4,1,2,95.0,80.0,3,9,1,77,2,4,77,1,252.89593777
1,1,6,1,1,200.0,50.0,2,2,77,1,77,5,3,1,150.17999935
2,1,7,1,1,300.0,250.0,2,3,77,1,77,6,3,1,80.389594947
1,2,4,1,2,150.0,100.0,2,2,77,1,77,5,3,1,81.006254031
2,1,4,1,1,200.0,200.0,1,9,77,77,77,8,77,1,57.436265081
2,1,4,1,1,150.0,100.0,2,3,77,1,77,8,3,1,86.974946465
1,1,4,1,2,350.0,0.0,3,7,2,77,4,2,77,1,81.006254031
2,1,7,1,1,200.0,140.0,2,2,77,1,77,5,3,1,55.157586462
1,2,6,1,2,150.0,0.0,2,3,77,1,77,3,3,1,133.76810475
2,1,4,1,2,150.0,20.0,3,6,1,77,2,1,77,1,256.78216107
1,1,3,1,2,400.0,100.0,3,7,1,77,2,2,77,1,549.59231247
2,1,7,1,1,150.0,300.0,2,2,77,1,77,8,3,1,55.157586462
1,2,5,1,1,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,62.916097367
1,1,6,1,1,50.0,0.0,3,9,1,77,2,6,77,1,167.5928172
2,1,7,1,1,125.0,0.0,1,3,77,77,77,6,77,1,52.742529497
1,2,6,1,1,350.0,50.0,4,2,77,77,77,5,77,1,282.17409109
2,1,7,1,1,100.0,20.0,3,4,1,77,3,7,77,1,80.389594947
2,1,7,1,1,200.0,200.0,2,3,77,1,77,8,3,1,87.829654772
2,1,5,1,3,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,234.07046623
1,1,7,1,1,100.0,0.0,3,9,1,77,2,5,77,1,51.796716957
2,1,7,1,1,250.0,50.0,2,3,77,1,77,7,3,1,54.069355693
1,1,7,1,1,115.0,30.0,3,9,1,77,2,6,77,1,56.538982314
2,1,7,1,1,200.0,100.0,3,7,1,77,2,4,77,1,55.157586462
2,1,6,1,1,150.0,45.0,1,5,77,77,77,5,77,1,167.5928172
2,2,4,1,2,200.0,30.0,3,9,2,77,2,6,77,1,490.65458943
2,1,7,1,3,350.0,50.0,3,9,1,77,2,1,77,1,111.40449979
